#Zeitstempel	Wert
412500	26.34
412800	26.353
413100	26.366
413400	26.38
413700	26.393
414000	26.406
414300	26.42
414600	26.433
414900	26.446
415200	26.459
415500	26.473
415800	26.474
416100	26.421
416400	26.362
416700	26.303
417000	26.244
417300	26.185
417600	26.125
417900	26.066
418200	26.031
418500	26.043
418800	26.057
419100	26.071
419400	26.085
419700	26.099
420000	26.113
420300	26.127
420600	26.141
420900	26.155
421200	26.168
421500	26.182
421800	26.192
422100	26.166
422400	26.131
422700	26.097
423000	26.062
423300	26.028
423600	25.993
423900	25.959
424200	25.924
424500	25.889
424800	25.855
425100	25.82
425400	25.786
425700	25.751
426000	25.717
426300	25.682
426600	25.648
426900	25.613
427200	25.578
427500	25.544
427800	25.509
428100	25.475
428400	25.44
428700	25.406
429000	25.371
429300	25.337
429600	25.302
429900	25.267
430200	25.233
430500	25.198
430800	25.164
431100	25.129
431400	25.095
431700	25.06
432000	25.026
432300	24.991
432600	24.957
432900	24.922
433200	24.887
433500	24.853
433800	24.818
434100	24.784
434400	24.749
434700	24.715
435000	24.68
435300	24.651
435600	24.653
435900	24.661
436200	24.669
436500	24.677
436800	24.684
437100	24.692
437400	24.7
437700	24.708
438000	24.716
438300	24.724
438600	24.732
438900	24.74
439200	24.748
439500	24.756
439800	24.763
440100	24.771
440400	24.779
440700	24.787
441000	24.795
441300	24.803
441600	24.811
441900	24.819
442200	24.827
442500	24.835
442800	24.843
443100	24.85
443400	24.858
443700	24.866
444000	24.863
444300	24.755
444600	24.622
444900	24.489
445200	24.356
445500	24.226
445800	24.199
446100	24.218
446400	24.237
446700	24.256
447000	24.275
447300	24.294
447600	24.313
447900	24.332
448200	24.351
448500	24.37
448800	24.389
449100	24.407
449400	24.395
449700	24.363
450000	24.331
450300	24.299
450600	24.268
450900	24.236
451200	24.204
451500	24.186
451800	24.188
452100	24.19
452400	24.191
452700	24.193
453000	24.195
453300	24.197
453600	24.199
453900	24.201
454200	24.203
454500	24.205
454800	24.207
455100	24.209
455400	24.211
455700	24.212
456000	24.214
456300	24.216
456600	24.218
456900	24.22
457200	24.222
457500	24.224
457800	24.226
458100	24.228
458400	24.23
458700	24.231
459000	24.233
459300	24.235
459600	24.237
